chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0    5.2 2.824   1      0.00    0.00    0.00    0.00   0.000    0.01   -0.01    0.00  0
 0    5.1 2.824   1      0.00    0.00    0.00    0.00   0.000    0.01   -0.01    0.00  0
 0    5.2 2.824   2      0.00    0.00    0.00    0.00   0.000    0.01    N/A     N/A   0
 1    4.2 2.824   1      0.00    0.00    0.00    0.00   0.002    0.02   -0.02    0.00  0
 1    4.1 2.824   1      0.01    0.00    0.00    0.00   0.001    0.02   -0.02    0.00  0
 1    4.2 2.824   2      0.01    0.00    0.00    0.00   0.001    0.02    N/A     N/A   0
 2    3.2 2.824   1      0.00    0.00    0.00    0.00   0.005    0.01   -0.01    0.01  0
 2    3.1 2.824   1      0.00    0.00    0.00    0.00   0.005    0.02    0.02   -0.01  0
 2    3.2 2.824   2      0.01    0.00    0.00    0.00   0.005    0.02    N/A     N/A   0
 3    2.2 2.824   1      0.02    0.00    0.00    0.00   0.004    0.04   -0.03    0.02  0
 3    2.1 2.824   1      0.01    0.00    0.00    0.00   0.003    0.03   -0.03   -0.00  0
 3    2.2 2.824   2      0.02    0.00    0.00    0.00   0.003    0.03    N/A     N/A   0
 4   30.4 2.824   1      0.00    0.00    0.00    0.00   0.005    0.01   -0.01   -0.01  0
 4   30.3 2.824   1      0.01    0.00    0.00    0.00   0.013    0.03   -0.02    0.01  0
 4   30.2 2.824   1      0.05    0.00    0.00    0.00   0.015    0.07    0.07   -0.02  0
 4   30.1 2.824   1      0.09    0.00    0.00    0.00   0.014    0.09    0.09   -0.01  0
 4   30.4 2.824   4      0.15    0.00    0.00    0.00   0.012    0.06    N/A     N/A   0
 5   20.4 2.824   1      0.05    0.00    0.00    0.00   0.033    0.07   -0.01   -0.07  0
 5   20.3 2.824   1      0.01    0.00    0.00    0.00   0.012    0.03   -0.01    0.02  0
 5   20.4 2.824   2      0.06    0.00    0.00    0.00   0.025    0.05    N/A     N/A   0
 6    1.4 2.824   1      0.04    0.00    0.00    0.00   0.031    0.06   -0.01   -0.06  0
 6    1.3 2.824   1      0.01    0.00    0.00    0.00   0.006    0.03    0.02    0.02  0
 6    1.2 2.824   1      0.01    0.00    0.00    0.00   0.003    0.03   -0.03    0.02  0
 6    1.1 2.824   1      0.03    0.00    0.00    0.00   0.005    0.05    0.05    0.00  0
 6    1.4 2.824   4      0.09    0.00    0.00    0.00   0.016    0.05    N/A     N/A   0
chimul                   0.35    0.00    0.00    0.00   0.013    0.04    N/A     N/A   0
log(Likelihood)         10.09
chi critical ligne
0  -0.964 2.995 0.02
chil 0.02

chitot           0.37
log(Likelihood)    10.08
